id,title,content,published_at,source_url,category
19,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,No Content,18-04-2023 20:29,https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,Others
20,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials",No Content,,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,Others
21,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,No Content,18-04-2023 19:07,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Others
22,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,No Content,18-04-2023 03:24,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,Others
23,GOP prepared to block vote to replace Feinstein on Senate Judiciary,No Content,18-04-2023 22:03,https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,Others
24,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,No Content,18-04-2023 17:33,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,Others
25,McCarthy slams Biden in handling of US debt,No Content,18-04-2023 22:03,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,Others
26,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,No Content,19-04-2023 08:35,https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,Others
27,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,No Content,18-04-2023 09:41,https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,Others
28,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,No Content,18-04-2023 15:09,https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,Others
29,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,No Content,19-04-2023 01:49,https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,Others
30,Southwest says flights resumed after delays caused by 'tech issues',No Content,18-04-2023 17:15,https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,Others
31,Damar Hamlin cleared to resume football activities after January cardiac arrest,No Content,18-04-2023 22:11,https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,Others
32,Pilot makes history after landing on top of a 56-story hotel,No Content,19-03-2023 11:22,https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Others
33,Top US Navy admiral defends non-binary sailor amid some Republican criticism,No Content,18-04-2023 19:56,https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,Others
34,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,No Content,19-04-2023 15:31,https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,Others
35,High speed trains are racing across the world. But not in America,No Content,19-04-2023 02:39,https://www.cnn.com/travel/article/high-speed-rail-us/index.html,Others
36,Podcast: One country musician is calling for other artists to oppose assault rifles,No Content,,https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,Others
37,Here's what you need to know if you haven't filed your return yet — and even if you have,No Content,18-04-2023 14:15,https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,Others
38,"Undocumented immigrants are paying their taxes today, too",No Content,18-04-2023 18:29,https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,Others
39,Opinion: Why millionaires like us want to pay more in taxes,No Content,17-04-2023 19:32,https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,Others
40,'World's longest' purpose-built cycling tunnel opens in Norway,No Content,18-04-2023 10:44,https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,Others
41,Artist rejects photo prize after AI-generated image wins award,No Content,18-04-2023 15:27,https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,Others
42,These ships disappeared in Lake Superior a century ago. Watch as they're found again,No Content,18-04-2023 19:29,https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,Others
43,Erotic images of seniors show sex and intimacy in new light,No Content,18-04-2023 03:24,https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,Others
44,"China's economy is off to a solid start, rising 4.5% in Q1 2023",No Content,18-04-2023 07:01,https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,Others
45,"Even when wives make as much as husbands, they still do more at home",No Content,16-04-2023 17:29,https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,Others
46,McDonald's is upgrading its burgers,No Content,17-04-2023 16:31,https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,Others
47,Google-parent stock drops on fears it could lose search market share to AI-powered rivals,No Content,17-04-2023 15:52,https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,Others
48,Bidets save you money and reduce waste — we tested the best options out there,No Content,,https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,Others
49,50+ products to make your life easier and our planet cleaner,No Content,,https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,Others
